site_id,name,latitude,longitude,n_connectors,max_power_kw,connector_types,operator
MX5LTAAQNI2X1IU3UBRB,"Mercadona, Es Cos de Gracia, Islas Baleares",39.884815,4.263815,0,,Unknown,Unknown
SBSYXQUVXYB62UQEHNR5,"Repsol ES, CRED LAS PEDRIZAS M.D",36.91815,-4.440617,0,,Unknown,Unknown
YAIWOU2FY1OTGUWQYB91,"Repsol ES, GPV TORREMOLINOS 113",36.60868,-4.514325,0,,Unknown,Unknown
GTVNTDENZZGB1U8WR42N,"Repsol ES,  CRED Pº MARITIMO HUELVA",37.267418,-6.958214,0,,Unknown,Unknown
TZM2MLHI1JHCWG9HKPZR,"Repsol ES, GLEM S.L. CASTALLA 2",38.578075,-0.65521,0,,Unknown,Unknown
ZCNTIB1RC10UHQAQ9NIT,"Mercadona, Samil, Islas Baleares",39.53013,2.737233,0,,Unknown,Unknown
LLNIDHGG0I3ETES62KS1,"Repsol ES, HERMANOS BELLIDO ORTEGA S.L.",37.59296,-4.481335,0,,Unknown,Unknown
RHUDDFC3UEZPZFY3PEYW,"Repsol ES, ALZ BUÑOL",39.44505,-0.755248,0,,Unknown,Unknown
2GRI8YHFK33PDZF2JQ4S,"Repsol ES, CRED SANSE AUTOVIA",40.545822,-3.606491,0,,Unknown,Unknown
1I8WXDRWHRSYZHLW9CIR,"Repsol ES, IGUAL BUSTAMANTE",40.190617,-0.656822,0,,Unknown,Unknown
SPSSEDJG5XSR2UXVFLP1,"Repsol ES, CATALAN PALANQUES DIANA",40.037952,-0.151245,0,,Unknown,Unknown
GNP1SPPETI1ZM8EB7GBC,"Repsol ES, CRED BIDEBIETA",43.300804,-2.002389,0,,Unknown,Unknown
FOFQ1KO7CZAWCSBXV7MN,"Repsol ES, DIAMOND S.L.",40.373863,-3.771555,0,,Unknown,Unknown
4WSQHYYJZYQFYCSKBV2R,"Repsol ES, DERIVADOS SANTA CRUZ S.L.",41.85387,-1.92631,0,,Unknown,Unknown
FK0MXYDL9GY7F84VLJYD,"Mercadona, Carrer de Maria de Molina, Valencia",39.452095,-0.389682,0,,Unknown,Unknown
QTWJBKDAJQQGEJKRFLFD,Seur Alaquas,39.44938,-0.49279,0,,Unknown,Unknown
7WUD2YQTZ0CSY8G7B2AC,"Repsol ES, Petrobadalona-Santander 100",41.432816,2.206842,0,,Unknown,Unknown
CHC2TR0MQSDTICCJMRNI,Repsol ES CRED PARLA,40.231037,-3.776129,0,,Unknown,Unknown
8Q2TFSGYPHYT37RRA6SH,"Repsol ES, Grupo Maicas Peiro",38.929626,-0.662682,0,,Unknown,Unknown
6MAO1WXYGO73USPXV3PN,"Repsol ES, Cred Azuqueca",40.57525,-3.260327,0,,Unknown,Unknown
YSOXKUMRJYTPKTD9CFPG,"Mercadona, Av. de San Jorge, Pamplona",42.820618,-1.666305,0,,Unknown,Unknown
BV5VBPBOFZVLEHWMGJB8,"Mercadona, Santa Coloma, Barcelona",41.44512,2.189617,0,,Unknown,Unknown
MRYFAVP7CLTJ5PD31XJL,"Mercadona,  De A Coruña, Lugo",43.02087,-7.563585,0,,Unknown,Unknown
DK4ON4UALJJ9MGIHFQ2M,"Repsol ES, GPV COLLSEROLA 102",41.416363,2.136419,0,,Unknown,Unknown
IRSWSGHV9NYIUDFKRN3E,"Repsol ES, CRED ROBLEDO 1",43.435658,-5.798854,0,,Unknown,Unknown
RSTY8BLYFABQQIOTEFUU,"Mercadona, Sor Ángela de la Cruz, Sevilla",37.23739,-5.114058,0,,Unknown,Unknown
LVCO1WBASF5Y6OCZGNKL,"Repsol ES, CRED PLANA BAIXA",39.937748,-0.092776,0,,Unknown,Unknown
WFOD93EGZO0RE3P68IKB,"Repsol ES, CRED SON ANTEM",39.484398,2.832172,0,,Unknown,Unknown
ZQYTHWSDUNWJL9RYCO09,"Repsol ES, Codisoil, S.A.",42.54958,-6.606839,0,,Unknown,Unknown
HNEIU4CDTVKKTRGC9CZQ,"Repsol ES, LORETO S.L.",37.18492,-3.958857,0,,Unknown,Unknown
UFNUOMQQJTA83HNNLXQL,"Repsol ES, CRED VARIANTE ESTE NORTE",43.24863,-2.924537,0,,Unknown,Unknown
MAZUFECTVZ7AQ7CWETO0,"Mercadona, José María Haro, Valencia",39.468372,-0.338095,0,,Unknown,Unknown
JY958CQWGRO2O3J26LCC,"Repsol ES, GRUPO MAICAS HOSTALES",40.35772,-1.136062,0,,Unknown,Unknown
8OIN9RXNVVY7BEOIIN43,"Repsol ES,  ABRIL S.A.",38.41185,-0.421926,0,,Unknown,Unknown
CEM0IRUMPTEMIWVRNJ7C,"Repsol ES, CRED LAREDO",43.39957,-3.439306,0,,Unknown,Unknown
W4ZSS4VHTNDZA8ALB3ZB,"Repsol ES, GUADAHORTUNA S.L.",37.561703,-3.400555,0,,Unknown,Unknown
ED8LXLMNKKBC3DIGFNEU,"Mercadona, Passeig de Jaume III, Islas Baleares",39.487568,2.886407,0,,Unknown,Unknown
UKOKCLZN93GZXWWHI0B2,"Mercadona, Jardines de la Alhambra, Sevilla",37.38224,-6.116473,0,,Unknown,Unknown
W7LW5JTPZUVYTZI3C5C9,"Mercadona, Inmaculada Concepción, Ciudad Real",38.988987,-3.923422,0,,Unknown,Unknown
0WZBCDFFATPSLIZJ5DLZ,"Repsol ES, GUTIERREZ RUEDA S.L.",37.450844,-3.920682,0,,Unknown,Unknown
7P4SZYHLDNWRK1ODUY2C,"Repsol ES, VILASANA CRED HORUS",41.643234,0.895039,0,,Unknown,Unknown
E62MPRPL2QSCVMNYCFLK,"Repsol ES, US TRICEHO S.L.U.",42.809303,-6.51913,0,,Unknown,Unknown
NLTGIL7RKF3PQWIFQKDF,"Repsol ES, TERA GASOLINERA S.L.",42.572495,-5.583343,0,,Unknown,Unknown
X32XURKYA9TXX1XYQCK6,MARINA IBIZA,38.915222,1.443534,0,,Unknown,Unknown
NIIVGKIIMWPFCNOPQJ60,"Mercadona, Nogal, Valladolid",41.592804,-4.72475,0,,Unknown,Unknown
JNU5OMZQKTHKPGHTJGGO,"Mercadona, Reino Unido, Sevilla",37.34912,-5.977045,0,,Unknown,Unknown
FTK92W4Q6RQE321QPXZX,"Mercadona, Del Cementerio, Valladolid",41.660984,-4.71291,0,,Unknown,Unknown
TDBRPVKHVFVNCCU6RSHY,"Mercadona, Menéndez y Pelayo, Valencia",39.478565,-0.356839,0,,Unknown,Unknown
ORFKDTBASRVFXWBFWHQW,"Repsol ES, CRED CASTILLETE",38.69783,-4.10576,0,,Unknown,Unknown
OPWQPSMAQHCF2AIZCZVY,"Mercadona, Ntra. Sra. de los Dolores, Cadiz",36.42135,-6.153748,0,,Unknown,Unknown
NNWSN5XBNK1HUJINJCUO,"Mercadona, Del Dr. Marañon, Málaga",36.72973,-4.428099,0,,Unknown,Unknown
KA9YN8AI4ZCSOEFUPIQB,COCOPE BODEGA PINNA FIDELIS,41.6119,-4.112466,0,,Unknown,Unknown
SQ2JB7IKKEDECH7U8JSK,"Repsol ES, EGARA 2005 S.L.",41.590378,2.591676,0,,Unknown,Unknown
4AHM15CEM5N9WVXSIZEZ,"Mercadona, Berlin, Madrid",40.237885,-3.75755,0,,Unknown,Unknown
